"scenario_id","source_type","target_type","year","total","source_id","target_id"
42,"FuelType","Sector",2013,0.002853053,8,6
42,"FuelType","Sector",2014,0.002853053,8,6
42,"FuelType","Sector",2015,0.002853053,8,6
42,"FuelType","Sector",2016,0.002853053,8,6
42,"FuelType","Sector",2017,0.002887573,8,6
42,"FuelType","Sector",2018,0.002887573,8,6
42,"FuelType","Sector",2019,0.002887573,8,6
42,"FuelType","Sector",2020,0.002887573,8,6
42,"FuelType","Sector",2021,0.002887573,8,6
42,"FuelType","Sector",2022,0.004239602,8,6
42,"FuelType","Sector",2023,0.004239602,8,6
42,"FuelType","Sector",2024,0.004239602,8,6
42,"FuelType","Sector",2025,0.004239602,8,6
42,"FuelType","Sector",2026,0.004239602,8,6
42,"FuelType","Sector",2027,0.005591632,8,6
42,"FuelType","Sector",2028,0.005591632,8,6
42,"FuelType","Sector",2029,0.005591632,8,6
42,"FuelType","Sector",2030,0.005591632,8,6
42,"FuelType","Sector",2031,0.005591632,8,6
42,"FuelType","Sector",2032,0.00694366,8,6
42,"FuelType","Sector",2033,0.00694366,8,6
42,"FuelType","Sector",2034,0.00694366,8,6
42,"FuelType","Sector",2035,0.00694366,8,6
42,"FuelType","Sector",2036,0.00694366,8,6
42,"FuelType","Sector",2037,0.008295689,8,6
42,"FuelType","Sector",2038,0.008295689,8,6
42,"FuelType","Sector",2039,0.008295689,8,6
42,"FuelType","Sector",2040,0.008295689,8,6
42,"FuelType","Sector",2041,0.008295689,8,6
42,"FuelType","Sector",2042,0.009647718,8,6
42,"FuelType","Sector",2043,0.009647718,8,6
42,"FuelType","Sector",2044,0.009647718,8,6
42,"FuelType","Sector",2045,0.009647718,8,6
42,"FuelType","Sector",2046,0.009647718,8,6
42,"FuelType","Sector",2047,0.01099975,8,6
42,"FuelType","Sector",2048,0.01099975,8,6
42,"FuelType","Sector",2049,0.01099975,8,6
42,"FuelType","Sector",2050,0.01099975,8,6
42,"FuelType","Sector",2011,0.02349078,9,1
42,"FuelType","Sector",2012,0.001388534,9,1
42,"FuelType","Sector",2013,0.0002024861,9,1
42,"FuelType","Sector",2014,4.721691e-05,9,1
42,"FuelType","Sector",2015,2.897408e-05,9,1
42,"FuelType","Sector",2016,3.136525e-05,9,1
42,"FuelType","Sector",2017,6.227846e-05,9,1
42,"FuelType","Sector",2018,0.0001011615,9,1
42,"FuelType","Sector",2019,0.0001712666,9,1
42,"FuelType","Sector",2020,0.0007860563,9,1
42,"FuelType","Sector",2021,0.001515805,9,1
42,"FuelType","Sector",2022,0.002059876,9,1
42,"FuelType","Sector",2023,0.002406183,9,1
42,"FuelType","Sector",2024,0.002597154,9,1
42,"FuelType","Sector",2025,0.002696596,9,1
42,"FuelType","Sector",2026,0.00275649,9,1
42,"FuelType","Sector",2027,0.002805511,9,1
42,"FuelType","Sector",2028,0.002851939,9,1
42,"FuelType","Sector",2029,0.002897996,9,1
42,"FuelType","Sector",2030,0.00294402,9,1
42,"FuelType","Sector",2031,0.002990042,9,1
42,"FuelType","Sector",2032,0.003036063,9,1
42,"FuelType","Sector",2033,0.003082085,9,1
42,"FuelType","Sector",2034,0.003128106,9,1
42,"FuelType","Sector",2035,0.003174128,9,1
42,"FuelType","Sector",2036,0.00322015,9,1
42,"FuelType","Sector",2037,0.003266171,9,1
42,"FuelType","Sector",2038,0.003312193,9,1
42,"FuelType","Sector",2039,0.003358215,9,1
42,"FuelType","Sector",2040,0.003404236,9,1
42,"FuelType","Sector",2041,0.003450258,9,1
42,"FuelType","Sector",2042,0.003498969,9,1
42,"FuelType","Sector",2043,0.00354768,9,1
42,"FuelType","Sector",2044,0.003596392,9,1
42,"FuelType","Sector",2045,0.003645103,9,1
42,"FuelType","Sector",2046,0.003693814,9,1
42,"FuelType","Sector",2047,0.003740579,9,1
42,"FuelType","Sector",2048,0.003787344,9,1
42,"FuelType","Sector",2049,0.003834109,9,1
42,"FuelType","Sector",2050,0.003880873,9,1
42,"FuelType","Sector",2011,0.0402945,9,3
42,"FuelType","Sector",2012,0.04105545,9,3
42,"FuelType","Sector",2013,0.04105545,9,3
42,"FuelType","Sector",2014,0.04105545,9,3
42,"FuelType","Sector",2015,0.04105545,9,3
42,"FuelType","Sector",2016,0.04105545,9,3
42,"FuelType","Sector",2017,0.04163341,9,3
42,"FuelType","Sector",2018,0.04163341,9,3
42,"FuelType","Sector",2019,0.04163341,9,3
42,"FuelType","Sector",2020,0.04163341,9,3
42,"FuelType","Sector",2021,0.04163341,9,3
42,"FuelType","Sector",2022,0.04391703,9,3
42,"FuelType","Sector",2023,0.04391703,9,3
42,"FuelType","Sector",2024,0.04391703,9,3
42,"FuelType","Sector",2025,0.04391703,9,3
42,"FuelType","Sector",2026,0.04391703,9,3
42,"FuelType","Sector",2027,0.04620065,9,3
42,"FuelType","Sector",2028,0.04620065,9,3
42,"FuelType","Sector",2029,0.04620065,9,3
42,"FuelType","Sector",2030,0.04620065,9,3
42,"FuelType","Sector",2031,0.04620065,9,3
42,"FuelType","Sector",2032,0.04848428,9,3
42,"FuelType","Sector",2033,0.04848428,9,3
42,"FuelType","Sector",2034,0.04848428,9,3
42,"FuelType","Sector",2035,0.04848428,9,3
42,"FuelType","Sector",2036,0.04848428,9,3
42,"FuelType","Sector",2037,0.0507679,9,3
42,"FuelType","Sector",2038,0.0507679,9,3
42,"FuelType","Sector",2039,0.0507679,9,3
42,"FuelType","Sector",2040,0.0507679,9,3
42,"FuelType","Sector",2041,0.0507679,9,3
42,"FuelType","Sector",2042,0.05305152,9,3
42,"FuelType","Sector",2043,0.05305152,9,3
42,"FuelType","Sector",2044,0.05305152,9,3
